id,precision,recall,f1_score,llm_refactoring_count,oracle_count
102381,0.0,0.0,0,1,6
102401,0.0,0.0,0,0,8
104291,1.0,0.38461538461538464,0.5555555555555556,6,14
104871,1.0,0.25,0.4,2,5
111891,0.0,0.0,0,0,8
111896,0.0,0.0,0,1,4
112251,0.0,0.0,0,1,10
113531,0.0,0.0,0,1,6
113681,0.0,0.0,0,1,16
113921,0.0,0.0,0,1,11
115491,0.0,0.0,0,0,7
116231,0.3333333333333333,0.07142857142857142,0.11764705882352941,4,15
116232,0.45454545454545453,0.35714285714285715,0.4,12,15
117521,0.0,0.0,0,1,7
117551,0.0,0.0,0,1,7
117561,1.0,0.25,0.4,4,13
117851,0.038461538461538464,0.2,0.06451612903225806,27,6
120431,0.0,0.0,0,1,8
121741,0.5,0.2,0.28571428571428575,3,6
122671,0.0,0.0,0,1,14
122711,0.0,0.0,0,1,8
122941,0.0,0.0,0,1,9
123111,0.0,0.0,0,1,8
123121,0.5,0.3333333333333333,0.4,3,4
123191,0.5,0.2,0.28571428571428575,3,6
123201,0.0,0.0,0,1,12
123211,0.0,0.0,0,1,8
123251,0.0,0.0,0,1,9
123351,0.0,0.0,0,1,39
123352,0.25,0.022222222222222223,0.04081632653061225,5,46
123353,0.0,0.0,0,1,6
123771,1.0,0.3,0.4615384615384615,4,11
123891,0.0,0.0,0,1,8
123892,0.0,0.0,0,1,8
125201,0.0,0.0,0,1,8
125261,0.0,0.0,0,1,15
125281,1.0,0.13043478260869565,0.23076923076923078,4,24
125361,0.5,0.2222222222222222,0.30769230769230765,5,10
125091,0.0,0.0,0,1,14
125241,1.0,0.5384615384615384,0.7000000000000001,8,14
111895,0.0,0.0,0,0,4
114011,0.0,0.0,0,1,25
125341,1.0,0.15789473684210525,0.2727272727272727,7,39
117501,0.0,0.0,0,22,5
